,full_name,engine_capacity,resale_price,registered_year,insurance,transmission_type,kms_driven,owner_type,fuel_type,brand
126,i10 Magna,1197.0,130000.0,2009,Third,Manual,50000.0,First,Petrol,Hyundai
127,Swift VDI,1248.0,500000.0,2017,Third,Manual,70000.0,First,Diesel,Maruti
128,Bolero B6,1493.0,950000.0,2021,Third,Manual,10000.0,First,Diesel,Mahindra
129,Creta 1.6,1582.0,700000.0,2017,Third,Manual,120000.0,Third,Diesel,Hyundai
130,Fiesta 1.4,1399.0,140000.0,2009,Third,Manual,120000.0,Third,Diesel,Ford
131,New Safari,2179.0,200000.0,2010,Third,Manual,120000.0,First,Diesel,Tata
132,KWID Climber,999.0,320000.0,2018,Third,Automatic,20000.0,First,Petrol,Renault
133,i10 Magna,1197.0,200000.0,2011,Third,Manual,40000.0,First,Petrol,Hyundai
134,i20 Magna,1197.0,410000.0,2015,Third,Manual,90000.0,Second,Petrol,Hyundai
135,Swift VXI,1197.0,440000.0,2016,Third,Manual,30000.0,Second,Petrol,Maruti
136,Compass Model,1368.0,2500000.0,2022,Third,Automatic,20000.0,First,Petrol,Jeep
137,Glanza G,1197.0,630000.0,2020,Third,Manual,30000.0,First,Petrol,Toyota
138,Etios GD,1364.0,200000.0,2012,Third,Manual,150000.0,Fourth,Diesel,Toyota
139,Eeco 7,1196.0,350000.0,2018,Third,Manual,100000.0,Second,Petrol,Maruti
140,Amaze S,1498.0,400000.0,2016,Third,Manual,150000.0,First,Diesel,Honda
141,Beat LT,1199.0,150000.0,2011,Third,Manual,90000.0,First,Petrol,Chevrolet
142,Amaze E,1498.0,425000.0,2016,Third,Manual,150000.0,First,Diesel,Honda
143,Swift Dzire,1248.0,425000.0,2016,Third,Manual,80000.0,Second,Diesel,Maruti
144,Swift Dzire,1197.0,400000.0,2017,Third,Manual,70000.0,Second,Petrol,Maruti
145,Swift VXI,1197.0,460000.0,2016,Third,Manual,30000.0,Second,Petrol,Maruti
146,KUV 100,1198.0,330000.0,2017,Third,Manual,70000.0,First,Diesel,Mahindra
147,Magnite XE,999.0,470000.0,2021,Third,Manual,30000.0,First,Petrol,Nissan
148,Creta 1.6,1582.0,1150000.0,2018,Third,Automatic,70000.0,Second,Diesel,Hyundai
149,Ciaz Delta,1462.0,725000.0,2020,Third,Manual,60000.0,Second,Petrol,Maruti
150,i20 Active,1396.0,400000.0,2015,Third,Manual,80000.0,Third,Diesel,Hyundai
151,Grand i10,1120.0,250000.0,2013,Third,Manual,150000.0,First,Diesel,Hyundai
152,Astor Sharp,1498.0,1450000.0,2022,Third,Manual,40000.0,First,Petrol,MG
153,i20 Sportz,1197.0,690000.0,2020,Third,Manual,40000.0,First,Petrol,Hyundai
154,i20 Asta,1197.0,350000.0,2015,Third,Manual,120000.0,Fourth,Petrol,Hyundai
155,Celerio Tour,998.0,342000.0,2020,Third,Manual,150000.0,First,CNG,Maruti
156,Ertiga ZDI,1248.0,425000.0,2013,Third,Manual,80000.0,Third,Diesel,Maruti
157,Q3 2.0,1968.0,1100000.0,2014,Third,Automatic,80000.0,Second,Diesel,Audi
158,Punch Pure,1199.0,600000.0,2022,Third,Manual,10000.0,First,Petrol,Tata
159,i20 Magna,1197.0,150000.0,2009,Third,Manual,150000.0,Third,Petrol,Hyundai
160,CR-V 2.4,2354.0,170000.0,2004,Third,Automatic,150000.0,Second,Petrol,Honda
161,Wagon R,998.0,160000.0,2011,Third,Manual,70000.0,Fourth,CNG,Maruti
162,i20 Magna,1197.0,140000.0,2009,Third,Manual,150000.0,Second,Petrol,Hyundai
163,Fabia 1.2,1199.0,140000.0,2011,Third,Manual,90000.0,Third,Diesel,Skoda
164,Thar LX,2184.0,1500000.0,2021,Third,Manual,50000.0,Second,Diesel,Mahindra
165,Wagon R,998.0,225000.0,2011,Third,Manual,60000.0,First,Petrol,Maruti
